ts,device_id,topic,m_key,m_value
"""2025-10-14T11:11:50.000Z""",cnc,cnc/lathe/programpercent,lathe,63
"""2025-10-14T11:11:52.000Z""",cnc,cnc/lathe/programpercent,lathe,65
"""2025-10-14T11:11:53.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:53.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:11:54.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:11:54.000Z""",demodata,demodata/hump,hump,25
"""2025-10-14T11:11:54.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:54.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:11:54.000Z""",cncmqtt,cncmqtt/temp,temp,28
"""2025-10-14T11:11:54.000Z""",cncmqtt,cncmqtt/hump,hump,10
"""2025-10-14T11:11:54.000Z""",cnc,cnc/lathe/x,lathe,40.11
"""2025-10-14T11:11:54.000Z""",cnc,cnc/lathe/programpercent,lathe,67
"""2025-10-14T11:11:54.000Z""",cnc,cnc/lathe/z,lathe,-9.4
"""2025-10-14T11:11:55.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:11:55.000Z""",demodata,demodata/hump,hump,26
"""2025-10-14T11:11:55.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:55.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:11:56.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:11:56.000Z""",demodata,demodata/hump,hump,12
"""2025-10-14T11:11:56.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:56.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:11:56.000Z""",cncmqtt,cncmqtt/temp,temp,29
"""2025-10-14T11:11:56.000Z""",cncmqtt,cncmqtt/hump,hump,30
"""2025-10-14T11:11:56.000Z""",cnc,cnc/lathe/x,lathe,69.1
"""2025-10-14T11:11:56.000Z""",cnc,cnc/lathe/z,lathe,8.3
"""2025-10-14T11:11:56.000Z""",cnc,cnc/lathe/programpercent,lathe,69
"""2025-10-14T11:11:57.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:11:57.000Z""",demodata,demodata/hump,hump,30
"""2025-10-14T11:11:57.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:57.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:11:58.000Z""",demodata,demodata/temp,temp,26
"""2025-10-14T11:11:58.000Z""",demodata,demodata/hump,hump,28
"""2025-10-14T11:11:58.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:58.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:11:58.000Z""",cncmqtt,cncmqtt/temp,temp,27
"""2025-10-14T11:11:58.000Z""",cncmqtt,cncmqtt/hump,hump,16
"""2025-10-14T11:11:58.000Z""",cnc,cnc/lathe/x,lathe,1.09
"""2025-10-14T11:11:58.000Z""",cnc,cnc/lathe/z,lathe,-9.07
"""2025-10-14T11:11:58.000Z""",cnc,cnc/lathe/programpercent,lathe,71
"""2025-10-14T11:11:59.000Z""",demodata,demodata/temp,temp,26
"""2025-10-14T11:11:59.000Z""",demodata,demodata/hump,hump,11
"""2025-10-14T11:11:59.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:11:59.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:00.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:00.000Z""",demodata,demodata/hump,hump,28
"""2025-10-14T11:12:00.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:00.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:00.000Z""",cncmqtt,cncmqtt/temp,temp,25
"""2025-10-14T11:12:00.000Z""",cncmqtt,cncmqtt/hump,hump,10
"""2025-10-14T11:12:00.000Z""",cnc,cnc/lathe/x,lathe,89.95
"""2025-10-14T11:12:00.000Z""",cnc,cnc/lathe/z,lathe,-9.9
"""2025-10-14T11:12:00.000Z""",cnc,cnc/lathe/programpercent,lathe,74
"""2025-10-14T11:12:01.000Z""",demodata,demodata/temp,temp,25
"""2025-10-14T11:12:01.000Z""",demodata,demodata/hump,hump,25
"""2025-10-14T11:12:01.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:01.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:02.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:12:02.000Z""",demodata,demodata/hump,hump,27
"""2025-10-14T11:12:02.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:02.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:02.000Z""",cncmqtt,cncmqtt/temp,temp,26
"""2025-10-14T11:12:02.000Z""",cncmqtt,cncmqtt/hump,hump,25
"""2025-10-14T11:12:02.000Z""",cnc,cnc/lathe/x,lathe,83.35
"""2025-10-14T11:12:02.000Z""",cnc,cnc/lathe/z,lathe,-9.84
"""2025-10-14T11:12:02.000Z""",cnc,cnc/lathe/programpercent,lathe,76
"""2025-10-14T11:12:03.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:03.000Z""",demodata,demodata/hump,hump,14
"""2025-10-14T11:12:03.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:03.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:04.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:12:04.000Z""",demodata,demodata/hump,hump,19
"""2025-10-14T11:12:04.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:04.000Z""",cncmqtt,cncmqtt/temp,temp,30
"""2025-10-14T11:12:04.000Z""",cnc,cnc/lathe/z,lathe,-6.3
"""2025-10-14T11:12:04.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:04.000Z""",cncmqtt,cncmqtt/hump,hump,22
"""2025-10-14T11:12:04.000Z""",cnc,cnc/lathe/x,lathe,67.51
"""2025-10-14T11:12:04.000Z""",cnc,cnc/lathe/programpercent,lathe,78
"""2025-10-14T11:12:05.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:05.000Z""",demodata,demodata/hump,hump,26
"""2025-10-14T11:12:05.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:05.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:06.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:12:06.000Z""",demodata,demodata/hump,hump,19
"""2025-10-14T11:12:06.000Z""",cncmqtt,cncmqtt/temp,temp,25
"""2025-10-14T11:12:06.000Z""",cncmqtt,cncmqtt/hump,hump,22
"""2025-10-14T11:12:06.000Z""",cnc,cnc/lathe/z,lathe,6.95
"""2025-10-14T11:12:06.000Z""",cnc,cnc/lathe/x,lathe,-11.48
"""2025-10-14T11:12:06.000Z""",sensor,sensor/t5,t5,20.9
"""2025-10-14T11:12:06.000Z""",cnc,cnc/lathe/programpercent,lathe,81
"""2025-10-14T11:12:06.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:07.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:07.000Z""",demodata,demodata/hump,hump,15
"""2025-10-14T11:12:07.000Z""",sensor,sensor/t5,t5,20.9
"""2025-10-14T11:12:07.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:08.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:12:08.000Z""",demodata,demodata/hump,hump,24
"""2025-10-14T11:12:08.000Z""",cncmqtt,cncmqtt/temp,temp,29
"""2025-10-14T11:12:08.000Z""",cncmqtt,cncmqtt/hump,hump,17
"""2025-10-14T11:12:08.000Z""",cnc,cnc/lathe/x,lathe,75.87
"""2025-10-14T11:12:08.000Z""",cnc,cnc/lathe/z,lathe,-2.16
"""2025-10-14T11:12:08.000Z""",cnc,cnc/lathe/programpercent,lathe,84
"""2025-10-14T11:12:08.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:08.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:09.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:12:09.000Z""",demodata,demodata/hump,hump,30
"""2025-10-14T11:12:09.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:09.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:10.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:10.000Z""",demodata,demodata/hump,hump,25
"""2025-10-14T11:12:10.000Z""",cncmqtt,cncmqtt/temp,temp,28
"""2025-10-14T11:12:10.000Z""",cncmqtt,cncmqtt/hump,hump,23
"""2025-10-14T11:12:10.000Z""",cnc,cnc/lathe/x,lathe,86.95
"""2025-10-14T11:12:10.000Z""",cnc,cnc/lathe/programpercent,lathe,87
"""2025-10-14T11:12:10.000Z""",cnc,cnc/lathe/z,lathe,-8.91
"""2025-10-14T11:12:10.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:10.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:11.000Z""",demodata,demodata/temp,temp,26
"""2025-10-14T11:12:11.000Z""",demodata,demodata/hump,hump,10
"""2025-10-14T11:12:11.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:11.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:12.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:12:12.000Z""",demodata,demodata/hump,hump,15
"""2025-10-14T11:12:12.000Z""",cncmqtt,cncmqtt/temp,temp,28
"""2025-10-14T11:12:12.000Z""",cncmqtt,cncmqtt/hump,hump,19
"""2025-10-14T11:12:12.000Z""",cnc,cnc/lathe/x,lathe,2.99
"""2025-10-14T11:12:12.000Z""",cnc,cnc/lathe/z,lathe,5.64
"""2025-10-14T11:12:12.000Z""",cnc,cnc/lathe/programpercent,lathe,90
"""2025-10-14T11:12:12.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:12.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:13.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:13.000Z""",demodata,demodata/hump,hump,12
"""2025-10-14T11:12:13.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:13.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:14.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:12:14.000Z""",demodata,demodata/hump,hump,20
"""2025-10-14T11:12:14.000Z""",cncmqtt,cncmqtt/temp,temp,30
"""2025-10-14T11:12:14.000Z""",cncmqtt,cncmqtt/hump,hump,26
"""2025-10-14T11:12:14.000Z""",cnc,cnc/lathe/x,lathe,-14.06
"""2025-10-14T11:12:14.000Z""",cnc,cnc/lathe/z,lathe,-4.67
"""2025-10-14T11:12:14.000Z""",cnc,cnc/lathe/programpercent,lathe,93
"""2025-10-14T11:12:14.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:14.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:15.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:15.000Z""",demodata,demodata/hump,hump,29
"""2025-10-14T11:12:15.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:15.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:16.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:12:16.000Z""",demodata,demodata/hump,hump,16
"""2025-10-14T11:12:16.000Z""",cncmqtt,cncmqtt/temp,temp,27
"""2025-10-14T11:12:16.000Z""",cncmqtt,cncmqtt/hump,hump,30
"""2025-10-14T11:12:16.000Z""",cnc,cnc/lathe/z,lathe,-7.34
"""2025-10-14T11:12:16.000Z""",cnc,cnc/lathe/programpercent,lathe,96
"""2025-10-14T11:12:16.000Z""",cnc,cnc/lathe/x,lathe,15.21
"""2025-10-14T11:12:16.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:16.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:17.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:17.000Z""",demodata,demodata/hump,hump,15
"""2025-10-14T11:12:17.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:17.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:18.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:18.000Z""",demodata,demodata/hump,hump,16
"""2025-10-14T11:12:18.000Z""",cncmqtt,cncmqtt/temp,temp,30
"""2025-10-14T11:12:18.000Z""",cncmqtt,cncmqtt/hump,hump,16
"""2025-10-14T11:12:18.000Z""",cnc,cnc/lathe/x,lathe,23.78
"""2025-10-14T11:12:18.000Z""",cnc,cnc/lathe/z,lathe,0.86
"""2025-10-14T11:12:18.000Z""",cnc,cnc/lathe/programpercent,lathe,99
"""2025-10-14T11:12:18.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:18.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:19.000Z""",demodata,demodata/temp,temp,26
"""2025-10-14T11:12:19.000Z""",demodata,demodata/hump,hump,24
"""2025-10-14T11:12:19.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:19.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:20.000Z""",demodata,demodata/temp,temp,26
"""2025-10-14T11:12:20.000Z""",demodata,demodata/hump,hump,11
"""2025-10-14T11:12:20.000Z""",cncmqtt,cncmqtt/temp,temp,25
"""2025-10-14T11:12:20.000Z""",cncmqtt,cncmqtt/hump,hump,27
"""2025-10-14T11:12:20.000Z""",cnc,cnc/lathe/x,lathe,54.4
"""2025-10-14T11:12:20.000Z""",cnc,cnc/lathe/programpercent,lathe,0
"""2025-10-14T11:12:20.000Z""",cnc,cnc/lathe/z,lathe,9.67
"""2025-10-14T11:12:20.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:20.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:21.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:21.000Z""",demodata,demodata/hump,hump,18
"""2025-10-14T11:12:21.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:22.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:22.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:22.000Z""",demodata,demodata/hump,hump,25
"""2025-10-14T11:12:22.000Z""",cncmqtt,cncmqtt/temp,temp,29
"""2025-10-14T11:12:22.000Z""",cncmqtt,cncmqtt/hump,hump,10
"""2025-10-14T11:12:22.000Z""",cnc,cnc/lathe/x,lathe,-4.71
"""2025-10-14T11:12:22.000Z""",cnc,cnc/lathe/z,lathe,-4.04
"""2025-10-14T11:12:22.000Z""",cnc,cnc/lathe/programpercent,lathe,2
"""2025-10-14T11:12:22.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:22.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:23.000Z""",demodata,demodata/temp,temp,26
"""2025-10-14T11:12:23.000Z""",demodata,demodata/hump,hump,25
"""2025-10-14T11:12:23.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:24.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:24.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:12:24.000Z""",demodata,demodata/hump,hump,15
"""2025-10-14T11:12:24.000Z""",cncmqtt,cncmqtt/temp,temp,27
"""2025-10-14T11:12:24.000Z""",cncmqtt,cncmqtt/hump,hump,18
"""2025-10-14T11:12:24.000Z""",cnc,cnc/lathe/z,lathe,7.53
"""2025-10-14T11:12:24.000Z""",cnc,cnc/lathe/x,lathe,-6.41
"""2025-10-14T11:12:24.000Z""",cnc,cnc/lathe/programpercent,lathe,5
"""2025-10-14T11:12:25.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:25.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:25.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:25.000Z""",demodata,demodata/hump,hump,13
"""2025-10-14T11:12:26.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:26.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:26.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:12:26.000Z""",demodata,demodata/hump,hump,15
"""2025-10-14T11:12:26.000Z""",cncmqtt,cncmqtt/temp,temp,28
"""2025-10-14T11:12:26.000Z""",cncmqtt,cncmqtt/hump,hump,19
"""2025-10-14T11:12:26.000Z""",cnc,cnc/lathe/x,lathe,45.29
"""2025-10-14T11:12:26.000Z""",cnc,cnc/lathe/z,lathe,-2.67
"""2025-10-14T11:12:26.000Z""",cnc,cnc/lathe/programpercent,lathe,7
"""2025-10-14T11:12:27.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:27.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:27.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:27.000Z""",demodata,demodata/hump,hump,24
"""2025-10-14T11:12:28.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:28.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:28.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:28.000Z""",demodata,demodata/hump,hump,27
"""2025-10-14T11:12:28.000Z""",cncmqtt,cncmqtt/temp,temp,25
"""2025-10-14T11:12:28.000Z""",cncmqtt,cncmqtt/hump,hump,26
"""2025-10-14T11:12:28.000Z""",cnc,cnc/lathe/programpercent,lathe,9
"""2025-10-14T11:12:28.000Z""",cnc,cnc/lathe/z,lathe,-3.14
"""2025-10-14T11:12:28.000Z""",cnc,cnc/lathe/x,lathe,24.39
"""2025-10-14T11:12:29.000Z""",sensor,sensor/t5,t5,20.7
"""2025-10-14T11:12:29.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:29.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:29.000Z""",demodata,demodata/hump,hump,15
"""2025-10-14T11:12:30.000Z""",sensor,sensor/t5,t5,20.7
"""2025-10-14T11:12:30.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:30.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:30.000Z""",demodata,demodata/hump,hump,12
"""2025-10-14T11:12:30.000Z""",cncmqtt,cncmqtt/temp,temp,27
"""2025-10-14T11:12:30.000Z""",cncmqtt,cncmqtt/hump,hump,28
"""2025-10-14T11:12:30.000Z""",cnc,cnc/lathe/x,lathe,53.4
"""2025-10-14T11:12:30.000Z""",cnc,cnc/lathe/programpercent,lathe,11
"""2025-10-14T11:12:30.000Z""",cnc,cnc/lathe/z,lathe,9.73
"""2025-10-14T11:12:31.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:31.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:31.000Z""",demodata,demodata/temp,temp,25
"""2025-10-14T11:12:31.000Z""",demodata,demodata/hump,hump,11
"""2025-10-14T11:12:32.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:32.000Z""",demodata,demodata/hump,hump,28
"""2025-10-14T11:12:32.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:32.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:33.000Z""",cncmqtt,cncmqtt/temp,temp,29
"""2025-10-14T11:12:33.000Z""",cncmqtt,cncmqtt/hump,hump,29
"""2025-10-14T11:12:33.000Z""",cnc,cnc/lathe/x,lathe,50.34
"""2025-10-14T11:12:33.000Z""",cnc,cnc/lathe/z,lathe,5.67
"""2025-10-14T11:12:33.000Z""",cnc,cnc/lathe/programpercent,lathe,13
"""2025-10-14T11:12:33.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:33.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:33.000Z""",demodata,demodata/temp,temp,29
"""2025-10-14T11:12:33.000Z""",demodata,demodata/hump,hump,19
"""2025-10-14T11:12:34.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:34.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:34.000Z""",demodata,demodata/temp,temp,28
"""2025-10-14T11:12:34.000Z""",demodata,demodata/hump,hump,13
"""2025-10-14T11:12:34.000Z""",cncmqtt,cncmqtt/temp,temp,30
"""2025-10-14T11:12:34.000Z""",cncmqtt,cncmqtt/hump,hump,24
"""2025-10-14T11:12:34.000Z""",cnc,cnc/lathe/x,lathe,50.82
"""2025-10-14T11:12:34.000Z""",cnc,cnc/lathe/programpercent,lathe,16
"""2025-10-14T11:12:34.000Z""",cnc,cnc/lathe/z,lathe,-3.44
"""2025-10-14T11:12:35.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:35.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:35.000Z""",demodata,demodata/temp,temp,27
"""2025-10-14T11:12:35.000Z""",demodata,demodata/hump,hump,25
"""2025-10-14T11:12:36.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:36.000Z""",sensor,sensor/h5,h5,42
"""2025-10-14T11:12:36.000Z""",demodata,demodata/temp,temp,30
"""2025-10-14T11:12:36.000Z""",demodata,demodata/hump,hump,21
"""2025-10-14T11:12:36.000Z""",cncmqtt,cncmqtt/temp,temp,26
"""2025-10-14T11:12:36.000Z""",cnc,cnc/lathe/x,lathe,67.54
"""2025-10-14T11:12:36.000Z""",cncmqtt,cncmqtt/hump,hump,16
"""2025-10-14T11:12:36.000Z""",cnc,cnc/lathe/z,lathe,8.04
"""2025-10-14T11:12:36.000Z""",cnc,cnc/lathe/programpercent,lathe,18
"""2025-10-14T11:12:37.000Z""",sensor,sensor/t5,t5,20.8
"""2025-10-14T11:12:37.000Z""",sensor,sensor/h5,h5,42
